Feature	Energy
aE-6	-0.016449148
aE-5	0.008249663
aE-4	-0.017040916
aE-3	0.016008139
aE-2	-0.032144878
aE-1	0.02678004
aF0	-0.049409203
aF1	0.0504659
aF2	-0.00032109
aF3	0.03659253
aF4	0.010347439
aF5	-0.005476719
aF6	0.059807092
aF7	-0.0072826482
aF8	0.08849004
aF9	0.035671204
aF10	0.059430066
aF11	0.0028620912
aF12	0.013246365
aF13	-0.042290255
aF14	-0.011477852
aF15	0.06252782
aF16	0.019848445
aF17	0.022822952
aF18	0.055856913
aF19	0.020065127
aF20	-0.0025053476
aF21	-0.011869419
aF22	0.02942149
aF23	0.014170384
aF24	0.03865045
aF-25	-0.05192529
aF-24	-0.04883186
aF-23	0.060608454
aF-22	-0.021566045
aF-21	-0.028553871
aF-20	-0.008036819
aF-19	-0.0042517427
aF-18	0.039166562
aF-17	-0.011664027
aF-16	0.021646855
aF-15	0.052462045
aF-14	-0.010153807
aF-13	0.04657532
aF-12	0.051527034
aF-11	0.047745742
aF-10	-0.060038447
aF-9	-0.026979359
aF-8	-0.019074509
aF-7	0.0044357376
aF-6	0.029623892
aF-5	0.017294513
aF-4	-0.02669479
aF-3	-0.027773071
aF-2	0.007360269
aF-1	0.023073334
aG0	0.010991479
aG1	0.027528653
aG2	0.01101527
aG3	0.045400847
aG4	0.07907087
aG5	-0.033547603
aG6	-0.046685826
aG7	-0.0006852142
aG8	0.01589694
aG9	0.00449914
aG10	0.0510679
aG11	-0.0055970275
aG12	-0.0076016914
aG13	0.048987195
aG14	0.06691505
aG15	0.03611228
aG16	-0.012774428
aG17	-0.023813631
aG18	0.06221609
aG19	0.020366566
aG20	0.006767449
aG21	-0.027882436
aG22	0.003379037
aG23	-0.05242769
aG24	-0.002017986
aG-25	-0.022004664
aG-24	0.052837867
aG-23	-0.026320476
aG-22	0.058014277
aG-21	-0.0187079
aG-20	0.06262091
aG-19	0.0049620816
aG-18	0.0029929208
aG-17	0.029470062
aG-16	0.014074774
aG-15	0.057868656
aG-14	-0.021329612
aG-13	0.06601424
aG-12	0.07415053
aG-11	0.0058484757
aG-10	0.05243672
aG-9	-0.04118305
aG-8	-0.06849055
aG-7	-0.05054752
aG-6	-0.069453135
aG-5	-0.051682074
aG-4	0.054453507
aG-3	0.027934179
aG-2	-0.032509707
aG-1	-0.012482431
aH0	-0.051352847
aH1	-0.013611955
aH2	-0.00656569
aH3	0.04846566
aH4	0.011401037
aH5	0.024249597
aH6	0.033601426
aH7	0.017908229
aH8	-0.007501116
aH9	-0.02437848
aH10	-0.004609374
aH11	0.026167274
aH12	-0.057495326
aH13	-0.031018069
aH14	0.011525821
aH15	0.011630454
aH16	0.08536565
aH17	-0.016969744
aH18	-0.012023963
aH19	-0.004652892
aH20	0.05716148
aH21	0.019255953
aH22	-0.02191584
aH23	-0.0030849152
aH24	0.03128077
aH-25	0.017952211
aH-24	0.0026568882
aH-23	0.038027644
aH-22	0.016331337
aH-21	0.038126975
aH-20	0.0018021092
aH-19	-0.032476846
aH-18	-0.009099357
aH-17	-0.038315903
aH-16	0.010373879
aH-15	0.051538143
aH-14	0.036490712
aH-13	0.07422699
aH-12	0.07797618
aH-11	-0.008139812
aH-10	0.05803019
aH-9	0.04931152
aH-8	0.036019128
aH-7	0.060181282
aH-6	0.07213353
aH-5	0.020965183
aH-4	-0.008962094
aH-3	-0.050602928
aH-2	0.020656522
aH-1	0.00897792
aI0	0.018093191
aI1	0.0040895124
aI2	-0.08250061
aI3	0.06409527
aI4	0.039121035
aI5	0.04774238
aI6	0.06144895
aI7	-0.0198004
aI8	0.040565144
aI9	0.021900209
aI10	0.019379726
aI11	-0.005333473
aI12	0.02878808
aI13	-0.037605114
aI14	-0.010169104
aI15	-0.0012149971
aI16	0.06507964
aI17	-0.016393611
aI18	-0.013318104
aI19	0.073857784
aI20	0.0622131
aI21	0.046862263
aI22	0.020599969
aI23	-0.049582932
aI24	0.00864771
aI-25	-0.005241766
aI-24	-0.033420257
aI-23	-0.020641122
aI-22	-0.024807677
aI-21	0.06402823
aI-20	0.05916026
aI-19	0.046665892
aI-18	0.015682803
aI-17	0.050890755
aI-16	0.08178589
aI-15	0.064373426
aI-14	0.06755749
aI-13	0.035099298
aI-12	-0.0050887787
aI-11	0.024510313
aI-10	-0.021150045
aI-9	-0.036315702
aI-8	-0.005274535
aI-7	0.0038973172
aI-6	0.051310856
aI-5	0.016979085
aI-4	-0.0096387975
aI-3	-0.048437048
aI-2	-0.025550248
aI-1	0.024732994
aK0	-0.026880253
aK1	-0.017670691
aK2	0.003304263
aK3	-0.009824907
aK4	0.02646507
aK5	0.04269646
aK6	0.056507606
aK7	-0.00046043226
aK8	0.018489907
aK9	0.06572077
aK10	-0.037446786
aK11	-0.01981917
aK12	-0.02899507
aK13	0.0046059084
aK14	0.06253826
aK15	0.035006978
aK16	0.05214685
aK17	0.024298357
aK18	-0.010678471
aK19	0.060561754
aK20	0.024304884
aK21	0.018578872
aK22	-0.024393275
aK23	0.027870663
aK24	0.03824138
aK-25	-0.0471569
aK-24	-0.01959541
aK-23	-0.023150243
aK-22	0.0106796175
aK-21	-0.0019066192
aK-20	0.037282635
aK-19	0.07025345
aK-18	0.025606696
aK-17	0.0366145
aK-16	-0.004354876
aK-15	0.05793985
aK-14	0.03108998
aK-13	0.009448785
aK-12	0.028340898
aK-11	0.08391162
aK-10	0.07320836
aK-9	0.032124355
aK-8	0.089733295
aK-7	0.03552058
aK-6	0.06659176
aK-5	0.011211765
aK-4	-0.07921431
aK-3	0.017626632
aK-2	-0.06485459
aK-1	-0.029617267
aL0	-0.06542903
aL1	-0.029299773
aL2	0.05332458
aL3	0.03592925
aL4	-0.051484816
aL5	0.06591346
aL6	-0.0139272455
aL7	0.07792554
aL8	-0.010981
aL9	0.05832771
aL10	-0.024277773
aL11	-0.002764196
aL12	-0.06665686
aL13	-0.008571552
aL14	0.013743443
aL15	0.021486389
aL16	0.033601876
aL17	0.053394593
aL18	0.07598319
aL19	0.063015066
aL20	0.08364254
aL21	0.0075117964
aL22	0.04521192
aL23	0.034469657
aL24	0.059894532
aL-25	0.0513814
aL-24	0.029439919
aL-23	0.018774813
aL-22	0.018801596
aL-21	-0.009962646
aL-20	0.071479216
aL-19	0.028149175
aL-18	0.05611934
aL-17	0.0762225
aL-16	0.02174061
aL-15	0.0652975
aL-14	0.00032050512
aL-13	0.0252721
aL-12	0.025842816
aL-11	-0.021998737
aL-10	0.01879958
aL-9	0.021033084
aL-8	-0.06193927
aL-7	-0.030668618
aL-6	-0.025433198
aL-5	-0.003190504
aL-4	-0.02337515
aL-3	0.006547155
aL-2	-0.07740535
aL-1	-0.042666316
aM0	-0.018963944
aM1	0.052722223
aM2	-0.011421347
aM3	-0.030349176
aM4	0.0078104557
aM5	0.007852888
aM6	-0.013172288
aM7	0.008678432
aM8	0.035934053
aM9	-0.0052967053
aM10	-0.015579521
aM11	0.014322941
aM12	0.0525395
aM13	0.05957607
aM14	0.0088741025
aM15	0.012604825
aM16	0.025395708
aM17	0.017616142
aM18	0.006714359
aM19	-0.026589878
aM20	-0.038677722
aM21	-0.02706895
aM22	0.030534633
aM23	-0.005136054
aM24	-0.023711342
aM-25	-0.012092784
aM-24	0.030447721
aM-23	-0.052158244
aM-22	-0.015828453
aM-21	0.018378442
aM-20	-0.0038645118
aM-19	-0.030130064
aM-18	0.042443223
aM-17	0.012018082
aM-16	-0.025469637
aM-15	0.0739224
aM-14	0.057576515
aM-13	0.039131314
aM-12	0.062397145
aM-11	0.025320685
aM-10	0.009357986
aM-9	-0.010933498
aM-8	0.03482775
aM-7	-0.029752692
aM-6	-0.038861647
aM-5	0.00703409
aM-4	0.02078531
aM-3	-0.006846951
aM-2	-0.008155275
aM-1	-0.028913563
aN0	-0.00014362112
aN1	0.0073828655
aN2	0.07456503
aN3	0.040693466
aN4	0.012769042
aN5	-0.026186233
aN6	-0.012787567
aN7	-0.09040157
aN8	-0.0022158804
aN9	-0.07614333
aN10	-0.03429792
aN11	0.02117978
aN12	0.014065289
aN13	0.024754029
aN14	-0.016265975
aN15	0.08860996
aN16	0.062214054
aN17	0.066150405
aN18	0.026613567
aN19	0.041586716
aN20	0.06941956
aN21	-0.027687265
aN22	0.009530745
aN23	-0.024435338
aN24	-0.0060111964
aN-25	0.0008471608
aN-24	-0.056067985
aN-23	-0.0067985095
aN-22	-0.01359988
aN-21	-0.029815042
aN-20	0.011079463
aN-19	0.044864237
aN-18	-0.018250518
aN-17	0.059882272
aN-16	0.045986604
aN-15	0.031732604
aN-14	0.055617914
aN-13	0.07058569
aN-12	0.009686367
aN-11	0.012843128
aN-10	-0.008749165
aN-9	-0.0038414637
aN-8	-0.016647585
aN-7	-0.0075190268
aN-6	-0.00019649277
aN-5	-0.029320262
aN-4	-0.033923343
aN-3	-0.0072358972
aN-2	0.043958966
aN-1	0.026293196
aP0	0.023112517
aP1	0.01296155
aP2	-0.010384989
aP3	0.06928083
aP4	-0.023458555
aP5	0.040014707
aP6	0.04741934
aP7	0.05282497
aP8	0.056460716
aP9	0.0099909995
aP10	0.03672219
aP11	-0.03736081
aP12	0.041486315
aP13	0.0081604775
aP14	0.0068362663
aP15	0.037991617
aP16	0.0129873045
aP17	0.049508534
aP18	0.0023815462
aP19	0.046825323
aP20	0.029146736
aP21	0.036571644
aP22	-0.03217437
aP23	-0.03357301
aP24	0.04671119
aP-25	0.008610882
aP-24	0.021988906
aP-23	0.06076683
aP-22	-0.022467745
aP-21	-0.038782902
aP-20	-0.023956122
aP-19	0.011987151
aP-18	0.070931144
aP-17	-0.023941148
aP-16	-0.012773174
aP-15	-0.018515771
aP-14	0.060390607
aP-13	0.051748652
aP-12	0.0044738445
aP-11	0.018947603
aP-10	0.00036661944
aP-9	-0.0045712492
aP-8	0.04222156
aP-7	0.023300877
aP-6	0.06904198
aP-5	-0.0027232077
aP-4	0.045752004
aP-3	0.028757853
aP-2	0.0075576063
aP-1	-0.010506976
aQ0	-0.044620965
aQ1	0.038406067
aQ2	0.07354671
aQ3	-0.017115707
aQ4	0.016067911
aQ5	-0.06455
aQ6	-0.00032290956
aQ7	0.011153903
aQ8	0.0098781185
aQ9	0.027931157
aQ10	-0.06225493
aQ11	0.04135127
aQ12	0.018073296
aQ13	0.06536873
aQ14	0.052777123
aQ15	0.049812872
aQ16	0.013495914
aQ17	0.0516567
aQ18	-0.0014094091
aQ19	0.02017713
aQ20	0.038922314
aQ21	-0.020656679
aQ22	0.053392977
aQ23	0.05814945
aQ24	0.07562653
aQ-25	-0.0325361
aQ-24	0.004094377
aQ-23	-0.0451329
aQ-22	-0.0036496925
aQ-21	0.018917928
aQ-20	0.021907954
aQ-19	0.053430337
aQ-18	8.549308e-06
aQ-17	0.020205552
aQ-16	0.033845156
aQ-15	0.08804119
aQ-14	-0.00797188
aQ-13	0.05425356
aQ-12	0.009231894
aQ-11	2.3463159e-05
aQ-10	-0.02733391
aQ-9	-0.08346622
aQ-8	-0.033575565
aQ-7	-0.031464636
aQ-6	0.07138748
aQ-5	0.040226597
aQ-4	0.004578626
aQ-3	0.042891506
aQ-2	-0.038733594
aQ-1	-0.0047372207
aR0	0.0005759238
aR1	0.005679589
aR2	0.0183301
aR3	-0.025070855
aR4	0.073354974
aR5	0.024130292
aR6	0.039570775
aR7	0.05360505
aR8	0.067546755
aR9	0.066698894
aR10	0.019826934
aR11	0.024359012
aR12	0.07527625
aR13	0.08329247
aR14	0.0023424316
aR15	0.06891178
aR16	0.018709365
aR17	0.017845435
aR18	-0.012376202
aR19	0.037940655
aR20	0.047172464
aR21	0.005377598
aR22	-0.018374417
aR23	0.025235742
aR24	-0.049172916
aR-25	0.06351398
aR-24	-0.01504897
aR-23	-0.023154033
aR-22	0.04739256
aR-21	0.06213861
aR-20	0.0064564226
aR-19	-0.012493391
aR-18	0.005897706
aR-17	0.03941724
aR-16	0.062176056
aR-15	0.027912466
aR-14	0.06251885
aR-13	0.024519043
aR-12	0.055962287
aR-11	0.040097788
aR-10	0.013804923
aR-9	0.056904927
aR-8	0.08822169
aR-7	0.05329885
aR-6	0.033276208
aR-5	-0.011133748
aR-4	-0.0043339385
aR-3	-0.029305628
aR-2	-0.0114917075
aR-1	0.0071952716
aS0	0.02681246
aS1	0.0014030695
aS2	-0.07914234
aS3	-0.019899603
aS4	0.016394315
aS5	-0.04111798
aS6	-0.040890846
aS7	-0.0819183
aS8	0.023156729
aS9	0.037943784
aS10	0.032422375
aS11	0.02566151
aS12	0.06466066
aS13	-0.014631555
aS14	0.028091434
aS15	0.018035043
aS16	-0.0035640923
aS17	0.07163724
aS18	0.03171873
aS19	0.06468206
aS20	0.060349762
aS21	0.047641072
aS22	0.025750397
aS23	0.03440366
aS24	-0.051890668
aS-25	0.0110797
aS-24	0.066557944
aS-23	0.06362143
aS-22	0.019233417
aS-21	0.025213793
aS-20	0.05596484
aS-19	0.044241205
aS-18	0.029356826
aS-17	0.0024620234
aS-16	-0.01763651
aS-15	0.0045268717
aS-14	0.022991497
aS-13	-0.083737396
aS-12	-0.003101553
aS-11	-0.064248025
aS-10	-0.029448485
aS-9	-0.0662713
aS-8	-0.013512723
aS-7	-0.008334541
aS-6	-0.01818648
aS-5	-0.0034584752
aS-4	-0.013807602
aS-3	-0.0021816911
aS-2	-0.02498652
aS-1	-0.0008446574
aT0	-0.049907666
aT1	-0.050858136
aT2	0.0029072338
aT3	-0.065821595
aT4	0.02865715
aT5	0.024002694
aT6	-0.05184072
aT7	-0.015551131
aT8	-0.009909223
aT9	-0.040573232
aT10	-0.02294805
aT11	0.00083084265
aT12	0.025312353
aT13	0.08570261
aT14	0.07845169
aT15	0.06282446
aT16	0.03918599
aT17	0.070087925
aT18	0.07667419
aT19	0.0857364
aT20	0.010916544
aT21	0.06245894
aT22	0.0491732
aT23	0.04781372
aT24	-0.014965121
aT-25	0.052640248
aT-24	0.051639017
aT-23	0.0049279686
aT-22	0.0050111557
aT-21	0.015431818
aT-20	0.01958038
aT-19	0.06961531
aT-18	0.06226005
aT-17	-0.021924302
aT-16	0.041781284
aT-15	-0.0009251165
aT-14	0.06482659
aT-13	0.081565015
aT-12	-0.003365701
aT-11	0.045654938
aT-10	-0.025988428
aT-9	-0.030776696
aT-8	-0.07245184
aT-7	-0.0061996006
aT-6	-0.002350602
aT-5	0.017653642
aT-4	-0.045713592
aT-3	-0.041075118
aT-2	-0.014905389
aT-1	0.012057647
aV0	-0.0067536645
aV1	0.0037310962
aV2	-0.0067340396
aV3	0.018460432
aV4	0.015236279
aV5	0.0212057
aV6	0.019533126
aV7	0.010963412
aV8	0.0061374907
aV9	0.05947806
aV10	0.065349884
aV11	0.06485311
aV12	0.0021090915
aV13	0.029142447
aV14	0.06539583
aV15	-0.031738374
aV16	-0.029738002
aV17	-0.02441365
aV18	-0.023636611
aV19	-0.013335334
aV20	0.012286026
aV21	-0.0133151915
aV22	0.0029879436
aV23	0.0087276995
aV24	0.010017268
aV-25	0.029549042
aV-24	0.03312213
aV-23	-0.005941937
aV-22	-0.020501941
aV-21	-0.007007647
aV-20	0.06333277
aV-19	0.05922329
aV-18	3.0051917e-05
aV-17	0.07363987
aV-16	-0.0049354043
aV-15	0.08787501
aV-14	0.090528175
aV-13	0.054141164
aV-12	-0.021659978
aV-11	-0.013835604
aV-10	-0.011382396
aV-9	0.000573891
aV-8	-0.01889656
aV-7	0.017951747
aV-6	-0.015401331
aV-5	0.011221571
aV-4	-0.026537942
aV-3	-0.0076354425
aV-2	0.0041411323
aV-1	0.062311463
aW0	-0.040209398
aW1	0.04760332
aW2	0.081750736
aW3	-0.035478972
aW4	0.062635526
aW5	-0.013070542
aW6	0.019966913
aW7	0.06570222
aW8	0.021287423
aW9	0.0111607835
aW10	-0.022933835
aW11	0.0054154303
aW12	0.023374101
aW13	0.031274635
aW14	-0.018396866
aW15	0.0031259889
aW16	-0.054220617
aW17	0.051923394
aW18	0.038283996
aW19	-0.03611853
aW20	-0.050948337
aW21	-0.02017698
aW22	0.03627743
aW23	-3.6917627e-06
aW24	-0.048440356
aW-25	0.03596709
aW-24	0.0074859336
aW-23	0.00923904
aW-22	-0.025146473
aW-21	0.053931236
aW-20	-0.0056938417
aW-19	0.020204596
aW-18	-0.030539017
aW-17	0.069860764
aW-16	-0.021101061
aW-15	-0.02084261
aW-14	0.06296397
aW-13	0.07360323
aW-12	0.03226513
aW-11	0.06371361
aW-10	0.00735703
aW-9	-0.024689566
aW-8	-0.029690746
aW-7	0.024375567
aW-6	-0.009183475
aW-5	-0.002053191
aW-4	-0.043079283
aW-3	-0.040151987
aW-2	0.011997543
aW-1	-0.05149237
aY0	-0.009032324
aY1	-0.0326905
aY2	-0.017753318
aY3	0.015428407
aY4	-0.046219993
aY5	0.014558598
aY6	-0.026010508
aY7	0.041509345
aY8	0.03952963
aY9	-0.025941022
aY10	-0.017556721
aY11	0.06728971
aY12	-0.018908173
aY13	0.026513094
aY14	0.03034779
aY15	0.028576558
aY16	0.038489442
aY17	-0.0143622
aY18	0.08202103
aY19	0.021547409
aY20	0.012951498
aY21	0.03320435
aY22	0.06880317
aY23	0.044837724
aY24	0.039983343
aY-25	-0.03042139
aY-24	-0.02736498
aY-23	0.010927387
aY-22	0.019121394
aY-21	0.0038010043
aY-20	0.018690897
aY-19	-0.034598794
aY-18	0.011077742
aY-17	0.017214293
aY-16	-0.007860936
aY-15	0.07424202
aY-14	0.002367171
aY-13	0.024374532
aY-12	0.050471496
aY-11	-0.048267476
aY-10	-0.0009151066
aY-9	0.0064019393
aY-8	0.0074093724
aY-7	0.041372344
aY-6	0.008941044
aY-5	0.050478157
aY-4	-0.04218323
aY-3	-0.025477814
aY-2	0.0071844677
aY-1	0.038986504
v30;j2-7	0.036903527
v30;j2-6	-0.032980636
v30;j2-5	0.02935609
v30;j2-4	0.03753814
v30;j2-3	0.03041716
v30;j2-2	-0.029658496
v30;j2-1	0.035350837
v30;j1-4	-0.049087938
v30;j1-5	0.006223841
v30;j1-6	-0.008977398
v30;j1-1	-0.058585357
v30;j1-2	0.001254129
v30;j1-3	0.020125303
v6-6;j2-7	-0.05745642
v6-6;j2-6	-0.044672724
v6-6;j2-5	0.011370383
v6-6;j2-4	0.039712224
v6-6;j2-3	-0.048654106
v6-6;j2-2	-0.08928623
v6-6;j2-1	-0.02356784
v6-6;j1-4	-0.041181535
v6-6;j1-5	0.0008142496
v6-6;j1-6	-0.067077234
v6-6;j1-1	-0.06246748
v6-6;j1-2	0.007991564
v6-6;j1-3	-0.018544044
v18;j2-7	-0.03121435
v18;j2-6	-0.013374242
v18;j2-5	-0.04860762
v18;j2-4	-0.03133674
v18;j2-3	-0.05173037
v18;j2-2	-0.019578326
v18;j2-1	0.007940075
v18;j1-4	-0.03602409
v18;j1-5	-0.0044878693
v18;j1-6	-0.011332962
v18;j1-1	-0.06467262
v18;j1-2	0.025506591
v18;j1-3	0.004804433
v19;j2-7	0.0385347
v19;j2-6	0.018274799
v19;j2-5	0.040641528
v19;j2-4	0.05929483
v19;j2-3	-0.06978763
v19;j2-2	-0.012296175
v19;j2-1	-0.054903425
v19;j1-4	0.034119993
v19;j1-5	0.02645973
v19;j1-6	0.01689158
v19;j1-1	-0.0142509695
v19;j1-2	-0.04629118
v19;j1-3	0.00467749
v5-8;j2-7	-0.01867807
v5-8;j2-6	-0.06313323
v5-8;j2-5	0.006663287
v5-8;j2-4	-0.006650328
v5-8;j2-3	-0.017341154
v5-8;j2-2	-0.03453522
v5-8;j2-1	0.008959687
v5-8;j1-4	-0.046697546
v5-8;j1-5	-0.04928847
v5-8;j1-6	-0.037142616
v5-8;j1-1	-0.013056137
v5-8;j1-2	-0.016842792
v5-8;j1-3	-0.05624851
v6-2;j2-7	-0.026608983
v6-2;j2-6	0.021485832
v6-2;j2-5	-0.008508891
v6-2;j2-4	-0.07836833
v6-2;j2-3	0.001655307
v6-2;j2-2	-0.086696066
v6-2;j2-1	-0.028877405
v6-2;j1-4	0.026309632
v6-2;j1-5	-0.075706124
v6-2;j1-6	-0.020780602
v6-2;j1-1	-0.010005895
v6-2;j1-2	-0.034323335
v6-2;j1-3	0.05277201
v6-1;j2-7	-0.05666595
v6-1;j2-6	-0.01758365
v6-1;j2-5	0.005473684
v6-1;j2-4	-0.022419998
v6-1;j2-3	-0.007496005
v6-1;j2-2	-0.08013752
v6-1;j2-1	-0.089054815
v6-1;j1-4	0.010162425
v6-1;j1-5	-0.04215682
v6-1;j1-6	0.003648893
v6-1;j1-1	-0.0895079
v6-1;j1-2	-0.08661967
v6-1;j1-3	0.025642399
v7-3;j2-7	0.02458874
v7-3;j2-6	-0.019053899
v7-3;j2-5	-0.018996911
v7-3;j2-4	0.02203992
v7-3;j2-3	0.0790178
v7-3;j2-2	0.004865176
v7-3;j2-1	-0.016487792
v7-3;j1-4	0.042780854
v7-3;j1-5	0.06150523
v7-3;j1-6	0.08129232
v7-3;j1-1	0.07213352
v7-3;j1-2	0.027273264
v7-3;j1-3	0.054856002
v5-4;j2-7	-0.0135814315
v5-4;j2-6	-0.0692206
v5-4;j2-5	-0.04992942
v5-4;j2-4	-0.018636608
v5-4;j2-3	-0.0019963908
v5-4;j2-2	0.03049095
v5-4;j2-1	0.005153756
v5-4;j1-4	-0.0044278973
v5-4;j1-5	-0.016776878
v5-4;j1-6	-0.041973848
v5-4;j1-1	-0.066405244
v5-4;j1-2	-0.045191195
v5-4;j1-3	-0.07882769
v13;j2-7	0.047571305
v13;j2-6	0.056091208
v13;j2-5	0.036404982
v13;j2-4	0.057528514
v13;j2-3	0.042074684
v13;j2-2	0.06363968
v13;j2-1	0.070333354
v13;j1-4	0.060826376
v13;j1-5	0.08090884
v13;j1-6	0.017037246
v13;j1-1	0.065125614
v13;j1-2	-0.006021515
v13;j1-3	-0.0011716865
v5-6;j2-7	-0.083373375
v5-6;j2-6	0.02436975
v5-6;j2-5	-0.040876023
v5-6;j2-4	-0.013155776
v5-6;j2-3	0.02332536
v5-6;j2-2	-0.06702478
v5-6;j2-1	-0.022301147
v5-6;j1-4	0.02787094
v5-6;j1-5	-0.05063094
v5-6;j1-6	0.029461384
v5-6;j1-1	-0.008177528
v5-6;j1-2	0.00066134153
v5-6;j1-3	-0.009093762
v5-7;j2-7	0.0019723745
v5-7;j2-6	-0.04009899
v5-7;j2-5	-0.0110011045
v5-7;j2-4	0.04001052
v5-7;j2-3	-0.031632595
v5-7;j2-2	-0.025158972
v5-7;j2-1	0.00527177
v5-7;j1-4	-0.039805584
v5-7;j1-5	0.038935944
v5-7;j1-6	-0.024288505
v5-7;j1-1	-0.005437169
v5-7;j1-2	-0.03016935
v5-7;j1-3	0.016956829
v16;j2-7	0.025938302
v16;j2-6	0.013289328
v16;j2-5	0.00021941843
v16;j2-4	-0.0014702408
v16;j2-3	-0.0071029766
v16;j2-2	-0.008040433
v16;j2-1	-0.02357449
v16;j1-4	-0.032975987
v16;j1-5	-0.0070438082
v16;j1-6	-0.0044191508
